リージョン	UTCからの時差
Europe/Bucharest	2
Europe/Budapest	1
Europe/Chisinau	2
Europe/Copenhagen	1
Europe/Dublin	0
Europe/Gibraltar	1
Europe/Helsinki	2
Europe/Istanbul	3
Europe/Kaliningrad	2
Europe/Kiev	2
Europe/Kirov	3
Europe/Lisbon	0
Europe/London	0
Europe/Luxembourg	1
Europe/Madrid	1
Europe/Malta	1
Europe/Minsk	3
Europe/Monaco	1
Europe/Moscow	3
Europe/Oslo	1
Europe/Paris	1
Europe/Prague	1
Europe/Riga	2
Europe/Rome	1
Europe/Samara	4
Europe/Saratov	4
Europe/Simferopol	3
Europe/Sofia	2
Europe/Stockholm	1
Europe/Tallinn	2
Europe/Tirane	1
Europe/Ulyanovsk	4
Europe/Uzhgorod	2
Europe/Vienna	1
Europe/Vilnius	2
Europe/Volgograd	4
Europe/Warsaw	1
Europe/Zaporozhye	2
Europe/Zurich	0
Indian/Chagos	6
Indian/Christmas	7
Indian/Cocos	6
Indian/Kerguelen	5
Indian/Mahe	4
Indian/Maldives	5
Indian/Mauritius	4
Indian/Reunion	4
Pacific/Apia	14
Pacific/Auckland	13
Pacific/Bougainville	11
Pacific/Chatham	13
Pacific/Chuuk	10
Pacific/Easter	5
Pacific/Efate	11
Pacific/Enderbury	13
Pacific/Fakaofo	13
Pacific/Fiji	12
Pacific/Funafuti	12
Pacific/Galapagos	6
Pacific/Gambier	9
Pacific/Guadalcanal	11
Pacific/Guam	10
Pacific/Honolulu	10
Pacific/Kiritimati	14
Pacific/Kosrae	11
Pacific/Kwajalein	12
Pacific/Majuro	12
Pacific/Marquesas	9
Pacific/Nauru	12
Pacific/Niue	11
Pacific/Norfolk	12
Pacific/Noumea	11
Pacific/Pago_Pago	11
Pacific/Palau	9
Pacific/Pitcairn	8
Pacific/Pohnpei	11
Pacific/Port_Moresby	10
Pacific/Rarotonga	10
Pacific/Tahiti	10
Pacific/Tarawa	12
Pacific/Tongatapu	13
Pacific/Wake	12
Pacific/Wallis	12
UTC	0
